ID,temp ,humidity,windspeed,workingday,count
1,0.24,0.81,0,0,16
2,0.22,0.8,0,0,40
3,0.22,0.8,0,0,32
4,0.24,0.75,0,0,13
5,0.24,0.75,0,0,1
6,0.24,0.75,0.0896,0,1
7,0.22,0.8,0,0,2
8,0.2,0.86,0,0,3
9,0.24,0.75,0,0,8
10,0.32,0.76,0,0,14
11,0.38,0.76,0.2537,0,36
12,0.36,0.81,0.2836,0,56
13,0.42,0.77,0.2836,0,84
14,0.46,0.72,0.2985,0,94
15,0.46,0.72,0.2836,0,106
16,0.44,0.77,0.2985,0,110
17,0.42,0.82,0.2985,0,93
18,0.44,0.82,0.2836,0,67
19,0.42,0.88,0.2537,0,35
20,0.42,0.88,0.2537,0,37
21,0.4,0.87,0.2537,0,36
22,0.4,0.87,0.194,0,34
23,0.4,0.94,0.2239,0,28
24,0.46,0.88,0.2985,0,39
25,0.46,0.88,0.2985,0,17
26,0.44,0.94,0.2537,0,17
27,0.42,1,0.2836,0,9
28,0.46,0.94,0.194,0,6
29,0.46,0.94,0.194,0,3
30,0.42,0.77,0.2985,0,2
31,0.4,0.76,0.194,0,1
32,0.4,0.71,0.2239,0,8
33,0.38,0.76,0.2239,0,20
34,0.36,0.81,0.2239,0,53
35,0.36,0.71,0.2537,0,70
36,0.36,0.66,0.2985,0,93
37,0.36,0.66,0.1343,0,75
38,0.36,0.76,0.194,0,59
39,0.34,0.81,0.1642,0,74
40,0.34,0.71,0.1642,0,76
41,0.34,0.57,0.194,0,65
42,0.36,0.46,0.3284,0,53
43,0.32,0.42,0.4478,0,30
44,0.3,0.39,0.3582,0,22
45,0.26,0.44,0.3284,0,31
46,0.24,0.44,0.2985,0,9
47,0.22,0.47,0.1642,0,8
48,0.22,0.44,0.3582,1,5
49,0.2,0.44,0.4179,1,2
50,0.16,0.47,0.3881,1,1
51,0.16,0.47,0.2836,1,3
52,0.14,0.5,0.3881,1,30
53,0.14,0.5,0.194,1,64
54,0.14,0.5,0.2836,1,154
55,0.16,0.43,0.3881,1,88
56,0.18,0.43,0.2537,1,44
57,0.2,0.4,0.3284,1,51
58,0.22,0.35,0.2985,1,61
59,0.24,0.35,0.2836,1,61
60,0.26,0.3,0.2836,1,77
61,0.26,0.3,0.2537,1,72
62,0.26,0.3,0.2537,1,76
63,0.24,0.3,0.2239,1,157
64,0.24,0.32,0.1045,1,157
65,0.2,0.47,0,1,110
66,0.2,0.47,0.1045,1,52
67,0.18,0.64,0.1343,1,52
